web-scraper-order,web-scraper-start-url,fakenews,fakenews-href,news,content,pages,pages-href
"1691836380-1","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-294","আহসান হাবীবকে কি আসলেই হত্যার হুমকি দেওয়া হয়েছে?","বিডিলাইভ২৪ নামক একটি নিউজ পোর্টাল আহসান হাবিবের ছবি ও পরিচয় ব্যবহার করে “আহসান হাবীবকে হত্যার হুমকি” শিরনামে একটি সংবাদ পরিবেশন করা হয়। মূল ঘটনাটি আহসান কবিরকে নিয়ে ঘটেছে।","৯","https://www.jachai.org/fact-checks/page/9"
"1691836387-2","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-1914","ইলেক্ট্রোলাইসিস করে বিষাক্ত মিনারেল পানি পরীক্ষণ?","নভেম্বর ৮ তারিখের দিকে প্রকাশিত একটি ইউটিউব ভিডিওতে দেখা যায়, বাংলাদেশের জনপ্রিয় ড্রিংকিং মিনারেল ওয়াটার, মাম পানির বিশুদ্ধতা পরীক্ষা করছেন একজন ব্যক্তি। সেখানে দেখা যায় যে একটি যন্ত্রের মাথা দুইটি প্লাস্টিক গ্লাসের মাঝে কিছুক্ষণ ডুবিয়ে রাখা হলে গ্লাসে থাকা মাম বোতলের স্বচ্ছ পানি কিছুক্ষণের মধ্যে অন্ধকার হয়ে যায় এবং মাটি রঙের সরের মত একটি স্তর পানির উপরে পড়ে যায়। ভিডিওটির পরীক্ষকের মতে এই স্তরটি পানিতে থাকা ময়লা বা জীবাণু নির্দেশ করে।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836389-3","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-1984","সোফিয়া: উন্নত কৃত্রিম বুদ্ধিমত্তাসম্পন্ন রোবট মানবী?","এই বছর অক্টোবর ২৫ তারিখে যে রোবটটি বিশ্বের প্রায় সকল প্রধান গণমাধ্যমের শিরোনামের বিষয়বস্তু হয়েছে তার নাম হচ্ছে সোফিয়া। সেদিন সৌদি আরব সোফিয়াকে দেশটির নাগরিকত্ব প্রদান করে কোন দেশের নাগরিকত্ব পাওয়া প্রথম রোবট হিসেবে আলোচনায় নিয়ে আসে। [1]","৩","https://www.jachai.org/fact-checks/page/3"
"1691836392-4","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2005","আয়রন ট্যাবলেটে থাকা ‘চুম্বক দ্বারা আকৃষ্ট’ হওয়া লোহা কি ক্ষতিকর?","জুলাই ১৫, ২০১৭ তারিখে অরক্ষিত ‘অরক্ষিত স্বাধীনতার দীর্ঘশ্বাস’ নামক একটি ফেসবুক পেইজের ভিডিওতে বলা হয়―","৩","https://www.jachai.org/fact-checks/page/3"
"1691836395-5","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2038","২০৩৬ সালে পৃথিবীর সাথে গ্রহাণুর সংঘর্ষে ধ্বংস হয়ে যেতে পারে মানব সভ্যতা?","এই গুজবটির সূত্রপাত হয় অক্টোবর মাসে প্রচারিত “নভেম্বর ১৯ তারিখ পৃথিবী ধ্বংস হয়ে যাবে” – এমন একটি গুজব থেকে। Nibiru Cataclysm বিশ্বাসীদের মতে প্ল্যানেট এক্স (Planet X) বা নিবরু (Nibru) নামক একটি গ্রহের সাথে সংঘর্ষে পৃথিবীর শেষদিন (Doomsday) ঘটবে এবং মানব সভ্যতার চির পরিসমাপ্তি ঘটবে। পূর্বে সেপ্টেম্বর মাসের কথা উল্লেখের পর, “নভেম্বর ১৯ তারিখে ‘নিবরু’ পৃথিবীতে আঘাত হানবে” তারা এমন খবর ছড়ালে অনেক তথাকথিত সংবাদ মাধ্যম সেটিকে নিয়ে সংবাদ তৈরি করে এবং এই সুযোগটি কাজে লাগিয়ে ইউটিউবেও তৈরি করা হয় একাধিক ভিডিও। অতীতেও এই ষড়যন্ত্র-তাত্ত্বিকরা এই ধরণের একাধিক ভবিষৎবাণী প্রদান করলেও নিবরু নামক এই গ্রহের কোন অস্তিত্ব কখনো পাওয়া যায় নি।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836399-6","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2060","গবেষণায় বিশ্বের তৃতীয় সৎ প্রধানমন্ত্রী হিসেবে শেখ হাসিনা নির্বাচিত?","নভেম্বর ২০, ২০১৭ তারিখে বাংলা ইনসাইডার নামক নিউজ পোর্টালে “শেখ হাসিনা বিশ্বের ৩য় সৎ সরকার প্রধান” শিরোনামে একটি সংবাদ প্রকাশ করে। যেখানে বলা হয় ‘পিপলস অ্যান্ড পলিটিক্স’ নামক বিশ্ব রাজনীতি নিয়ে গবেষণা প্রতিষ্ঠান ১৭৩টি দেশের রাষ্ট্র ও সরকার প্রধানের কর্মকাণ্ড বিশ্লেষণ করে মাত্র ১৭ জন সরকার ও রাষ্ট্রপ্রধান পেয়েছেন যাঁরা শতকরা ৫০ ভাগ দুর্নীতিমুক্ত হিসেবে উত্তীর্ণ হয়েছেন। ৫ টি প্রশ্নে মোট ১০০ নম্বরের মধ্যে ৮৭ নম্বর পেয়ে এই তালিকায় তৃতীয় স্থানে অধিকার করেছে বাংলাদেশের প্রধানমন্ত্রী শেখ হাসিনা। বাংলা ইনসাইডারে প্রকাশিত সংবাদটি প্রায় দেড় লক্ষ বারের কাছাকাছি শেয়ার, লাইক ও কমেন্ট পায়।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836402-7","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2114","পাকিস্তানের অফিসিয়াল ভাষা কি মান্দারিন করা হয়েছে?","পাকিস্তান ভিত্তিক উর্দু নিউজ চ্যানেল ‘আব তাক’ (Abbtakk) সর্বপ্রথম এই ধরনের একটি খবর ব্রেকিং নিউজ হিসেবে প্রচার করে। যাতে বলা হয়, ‘চাইনিজ ভাষা পাকিস্তানের দাপ্তরিক ভাষা হিসেবে ঘোষণা করা হয়েছে। পাকিস্তানের পার্লামেন্টের উচ্চকক্ষ সিনেটে এটি গৃহীত হয়েছে।’ পরবর্তীতে খবরটি ইন্ডিয়া টুডে, ফিনেন্সিয়াল এক্সপ্রেস সহ ভারতের প্রধান কয়েকটি মিডিয়া ফলাওভাবে প্রচার করলে এই গুজবটি আরো বিশ্বাসযোগ্যভাবে ছড়িয়ে পড়ে।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836405-8","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2168","ড. ইউনূস কি প্রথম নন-ব্রিটিশ হিসেবে কোন ব্রিটিশ ইউনিভার্সিটির চ্যান্সেলর পদে নিযুক্ত হয়েছেন?","গ্রামীণ ব্যাংকের প্রতিষ্ঠাতা ও প্রথম বাংলাদেশী নোবেল পুরস্কার বিজয়ী ড. মুহাম্মদ ইউনূস ২০১২ সালের অক্টোবরে গ্লাসগো ক্যালেডনিয়ান ইউনিভার্সিটি (Glasgow Caledonian University) -এর চ্যান্সেলর হিসেবে অভিষিক্ত হোন। তিনি বিশ্ববিদ্যালয়টির পূর্বের চ্যান্সেলর লর্ড ম্যাকডোনাল্ড অফ ট্রেডেস্টন এর পদানুবর্তী হোন।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836410-9","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2191","ক্যাডবেরি চকলেটে ‘এইচআইভি’ মেশানো হয়েছে?","বিভিন্ন খাদ্যদ্রব্যে এইচআইভি বা এইড দ্বারা আক্রান্ত করার গুজব প্রচার হচ্ছে বেশ অনেকদিন ধরেই। পূর্বে ভারতে জনৈক শ্রমিকের পেপসির সাথে এইচআইভি আক্রান্ত রক্ত মিশানোর গুজব বেশ ভাইরাল হয়। এছাড়াও আমেরিকার ওয়ালমার্টে কলার সাথে এইচআইভি মেশানোর গল্প নিয়ে কিছু বাংলাদেশী নিউজপোর্টাল সংবাদও প্রচার করে। ‘এইচআইভি’ মেশানোর এই গুজবগুলোর সম্প্রতি সংস্করণ হচ্ছে ক্যাডবেরি চকলেট সংক্রান্ত।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836415-10","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2221","ক্যান্সার রোগের কারণ হিসেবে Snickers চকলেট ‘নিষিদ্ধ’ করা হয়েছে?","মো ইসমাইল নামক জনৈক ফেসবুক ইউজার এমন দাবী করে একটি পোস্ট করলে তা ভাইরাল হয়ে যায় নিমিষেই। পোস্টটিতে ‘ইউরো নিউজ’ নামক একটি সংবাদ মাধ্যমের একটি ভিডিও রিপোর্টও সংযুক্ত করা হয়। এই গুজবটি ভারতের সোশ্যাল মিডিয়াতে গত কিছুদিন যাবত প্রচারিত হচ্ছে। ধারণা করা যায়, মো ইসমাইল কেবল সেই গুজবটি নিজের প্রোফাইল থেকে পুনরায় আপলোড দিয়েছে মাত্র।","৩","https://www.jachai.org/fact-checks/page/3"
